date,username,product,sku,model,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,organization,cost_center_name
2026-09-01,kenji-sato,copilot,copilot_enterprise,,1,seats,39.00,39.00,0.00,39.00,proud-fintech,FinTech-Division
2026-09-01,yuki-tanaka,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-fintech,FinTech-Division
2026-09-01,daiki-suzuki,copilot,copilot_enterprise,,1,seats,39.00,39.00,0.00,39.00,proud-internal-sys,IT-Infrastructure
2026-09-01,sakura-watanabe,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-internal-sys,IT-Infrastructure
2026-09-01,ren-takahashi,copilot,copilot_enterprise,,1,seats,39.00,39.00,0.00,39.00,proud-marketing,Data-AI-Lab
2026-09-01,mei-ito,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-marketing,Data-AI-Lab
2026-09-01,kaito-nakamura,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-core-api,IT-Infrastructure
2026-09-01,aoi-kobayashi,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-core-api,IT-Infrastructure
2026-09-01,external-contractor-01,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-fintech,FinTech-Division
2026-09-01,external-contractor-02,copilot,copilot_business,,1,seats,19.00,19.00,0.00,19.00,proud-fintech,FinTech-Division
2026-09-01,kenji-sato,copilot,copilot_premium_request,"Gemini 2.0 Flash",28,requests,0.0200,0.5600,0.0000,0.5600,proud-fintech,FinTech-Division
2026-09-01,yuki-tanaka,copilot,copilot_premium_request,"Claude 3.7 Sonnet",5,requests,0.0400,0.2000,0.0000,0.2000,proud-fintech,FinTech-Division
2026-09-01,daiki-suzuki,copilot,copilot_premium_request,"GPT-4o",7,requests,0.0300,0.2100,0.0000,0.2100,proud-internal-sys,IT-Infrastructure
2026-09-01,sakura-watanabe,copilot,copilot_premium_request,"Claude 3.7 Sonnet",13,requests,0.0400,0.5200,0.0000,0.5200,proud-internal-sys,IT-Infrastructure
2026-09-01,mei-ito,copilot,copilot_premium_request,"Claude 3.7 Sonnet",22,requests,0.0400,0.8800,0.0000,0.8800,proud-marketing,Data-AI-Lab
2026-09-01,external-contractor-01,copilot,copilot_premium_request,"Gemini 2.0 Flash",27,requests,0.0200,0.5400,0.0000,0.5400,proud-fintech,FinTech-Division
2026-09-01,external-contractor-02,copilot,copilot_premium_request,"Gemini 2.0 Flash",27,requests,0.0200,0.5400,0.0000,0.5400,proud-fintech,FinTech-Division
2026-09-02,kenji-sato,copilot,copilot_premium_request,"Claude 3.7 Sonnet",6,requests,0.0400,0.2400,0.0000,0.2400,proud-fintech,FinTech-Division
2026-09-02,yuki-tanaka,copilot,copilot_premium_request,"GPT-4o",8,requests,0.0300,0.2400,0.0000,0.2400,proud-fintech,FinTech-Division
2026-09-02,daiki-suzuki,copilot,copilot_premium_request,"o1",10,requests,0.0500,0.5000,0.0000,0.5000,proud-internal-sys,IT-Infrastructure
2026-09-02,sakura-watanabe,copilot,copilot_premium_request,"GPT-4o",16,requests,0.0300,0.4800,0.0000,0.4800,proud-internal-sys,IT-Infrastructure
2026-09-02,ren-takahashi,copilot,copilot_premium_request,"Gemini 2.0 Flash",12,requests,0.0200,0.2400,0.0000,0.2400,proud-marketing,Data-AI-Lab
2026-09-02,kaito-nakamura,copilot,copilot_premium_request,"Claude 3.7 Sonnet",14,requests,0.0400,0.5600,0.0000,0.5600,proud-core-api,IT-Infrastructure
2026-09-02,aoi-kobayashi,copilot,copilot_premium_request,"Gemini 2.0 Flash",12,requests,0.0200,0.2400,0.0000,0.2400,proud-core-api,IT-Infrastructure
2026-09-02,external-contractor-01,copilot,copilot_premium_request,"Claude 3.7 Sonnet",5,requests,0.0400,0.2000,0.0000,0.2000,proud-fintech,FinTech-Division
2026-09-02,external-contractor-02,copilot,copilot_premium_request,"Claude 3.7 Sonnet",5,requests,0.0400,0.2000,0.0000,0.2000,proud-fintech,FinTech-Division
2026-09-03,yuki-tanaka,copilot,copilot_premium_request,"o1",11,requests,0.0500,0.5500,0.0000,0.5500,proud-fintech,FinTech-Division
2026-09-03,daiki-suzuki,copilot,copilot_premium_request,"Gemini 2.0 Flash",13,requests,0.0200,0.2600,0.0000,0.2600,proud-internal-sys,IT-Infrastructure
2026-09-03,sakura-watanabe,copilot,copilot_premium_request,"o1",19,requests,0.0500,0.9500,0.0000,0.9500,proud-internal-sys,IT-Infrastructure
2026-09-03,ren-takahashi,copilot,copilot_premium_request,"Claude 3.7 Sonnet",15,requests,0.0400,0.6000,0.0000,0.6000,proud-marketing,Data-AI-Lab
2026-09-03,mei-ito,copilot,copilot_premium_request,"o1",28,requests,0.0500,1.4000,0.0000,1.4000,proud-marketing,Data-AI-Lab
2026-09-03,kaito-nakamura,copilot,copilot_premium_request,"GPT-4o",17,requests,0.0300,0.5100,0.0000,0.5100,proud-core-api,IT-Infrastructure
2026-09-03,aoi-kobayashi,copilot,copilot_premium_request,"Claude 3.7 Sonnet",15,requests,0.0400,0.6000,0.0000,0.6000,proud-core-api,IT-Infrastructure
2026-09-03,external-contractor-01,copilot,copilot_premium_request,"GPT-4o",8,requests,0.0300,0.2400,0.0000,0.2400,proud-fintech,FinTech-Division
2026-09-03,external-contractor-02,copilot,copilot_premium_request,"GPT-4o",8,requests,0.0300,0.2400,0.0000,0.2400,proud-fintech,FinTech-Division
2026-09-04,kenji-sato,copilot,copilot_premium_request,"o1",12,requests,0.0500,0.6000,0.0000,0.6000,proud-fintech,FinTech-Division
2026-09-04,yuki-tanaka,copilot,copilot_premium_request,"Gemini 2.0 Flash",14,requests,0.0200,0.2800,0.0000,0.2800,proud-fintech,FinTech-Division
2026-09-04,sakura-watanabe,copilot,copilot_premium_request,"Gemini 2.0 Flash",22,requests,0.0200,0.4400,0.0000,0.4400,proud-internal-sys,IT-Infrastructure
2026-09-04,mei-ito,copilot,copilot_premium_request,"Gemini 2.0 Flash",6,requests,0.0200,0.1200,0.0000,0.1200,proud-marketing,Data-AI-Lab
2026-09-04,kaito-nakamura,copilot,copilot_premium_request,"o1",20,requests,0.0500,1.0000,0.0000,1.0000,proud-core-api,IT-Infrastructure
2026-09-07,kenji-sato,copilot,copilot_premium_request,"GPT-4o",21,requests,0.0300,0.6300,0.0000,0.6300,proud-fintech,FinTech-Division
2026-09-07,sakura-watanabe,copilot,copilot_premium_request,"o1",6,requests,0.0500,0.3000,0.0000,0.3000,proud-internal-sys,IT-Infrastructure
2026-09-07,ren-takahashi,copilot,copilot_premium_request,"Claude 3.7 Sonnet",27,requests,0.0400,1.0800,0.0000,1.0800,proud-marketing,Data-AI-Lab
2026-09-07,mei-ito,copilot,copilot_premium_request,"o1",15,requests,0.0500,0.7500,0.0000,0.7500,proud-marketing,Data-AI-Lab
2026-09-07,kaito-nakamura,copilot,copilot_premium_request,"GPT-4o",29,requests,0.0300,0.8700,0.0000,0.8700,proud-core-api,IT-Infrastructure
2026-09-07,aoi-kobayashi,copilot,copilot_premium_request,"Claude 3.7 Sonnet",27,requests,0.0400,1.0800,0.0000,1.0800,proud-core-api,IT-Infrastructure
2026-09-08,kenji-sato,copilot,copilot_premium_request,"o1",24,requests,0.0500,1.2000,0.0000,1.2000,proud-fintech,FinTech-Division
